# 3.1 conjugate conduction: L=200 kappa=1 D0=0.05
# x/L  theta_num  theta_ana
0.00250000 9.9750000000e-01 9.9750000000e-01
0.00750000 9.9250000000e-01 9.9250000000e-01
0.01250000 9.8750000000e-01 9.8750000000e-01
0.01750000 9.8250000000e-01 9.8250000000e-01
0.02250000 9.7750000000e-01 9.7750000000e-01
0.02750000 9.7250000000e-01 9.7250000000e-01
0.03250000 9.6750000000e-01 9.6750000000e-01
0.03750000 9.6250000000e-01 9.6250000000e-01
0.04250000 9.5750000000e-01 9.5750000000e-01
0.04750000 9.5250000000e-01 9.5250000000e-01
0.05250000 9.4750000000e-01 9.4750000000e-01
0.05750000 9.4250000000e-01 9.4250000000e-01
0.06250000 9.3750000000e-01 9.3750000000e-01
0.06750000 9.3250000000e-01 9.3250000000e-01
0.07250000 9.2750000000e-01 9.2750000000e-01
0.07750000 9.2250000000e-01 9.2250000000e-01
0.08250000 9.1750000000e-01 9.1750000000e-01
0.08750000 9.1250000000e-01 9.1250000000e-01
0.09250000 9.0749999999e-01 9.0750000000e-01
0.09750000 9.0249999999e-01 9.0250000000e-01
0.10250000 8.9749999999e-01 8.9750000000e-01
0.10750000 8.9249999999e-01 8.9250000000e-01
0.11250000 8.8749999999e-01 8.8750000000e-01
0.11750000 8.8249999999e-01 8.8250000000e-01
0.12250000 8.7749999999e-01 8.7750000000e-01
0.12750000 8.7249999999e-01 8.7250000000e-01
0.13250000 8.6749999999e-01 8.6750000000e-01
0.13750000 8.6249999999e-01 8.6250000000e-01
0.14250000 8.5749999999e-01 8.5750000000e-01
0.14750000 8.5249999999e-01 8.5250000000e-01
0.15250000 8.4749999999e-01 8.4750000000e-01
0.15750000 8.4249999999e-01 8.4250000000e-01
0.16250000 8.3749999999e-01 8.3750000000e-01
0.16750000 8.3249999999e-01 8.3250000000e-01
0.17250000 8.2749999999e-01 8.2750000000e-01
0.17750000 8.2249999999e-01 8.2250000000e-01
0.18250000 8.1749999999e-01 8.1750000000e-01
0.18750000 8.1249999999e-01 8.1250000000e-01
0.19250000 8.0749999999e-01 8.0750000000e-01
0.19750000 8.0249999999e-01 8.0250000000e-01
0.20250000 7.9749999999e-01 7.9750000000e-01
0.20750000 7.9249999999e-01 7.9250000000e-01
0.21250000 7.8749999999e-01 7.8750000000e-01
0.21750000 7.8249999999e-01 7.8250000000e-01
0.22250000 7.7749999999e-01 7.7750000000e-01
0.22750000 7.7249999999e-01 7.7250000000e-01
0.23250000 7.6749999999e-01 7.6750000000e-01
0.23750000 7.6249999999e-01 7.6250000000e-01
0.24250000 7.5749999999e-01 7.5750000000e-01
0.24750000 7.5249999999e-01 7.5250000000e-01
0.25250000 7.4749999999e-01 7.4750000000e-01
0.25750000 7.4249999999e-01 7.4250000000e-01
0.26250000 7.3749999999e-01 7.3750000000e-01
0.26750000 7.3249999999e-01 7.3250000000e-01
0.27250000 7.2749999999e-01 7.2750000000e-01
0.27750000 7.2249999999e-01 7.2250000000e-01
0.28250000 7.1749999999e-01 7.1750000000e-01
0.28750000 7.1249999999e-01 7.1250000000e-01
0.29250000 7.0749999999e-01 7.0750000000e-01
0.29750000 7.0249999999e-01 7.0250000000e-01
